idiom_id,headword,hanja,meaning,level_min
140,오월동주,吳越同舟,서로 적의를 품은 사람들이 한자리에 있게 된 경우나 서로 협력하여 야 하는 상황을 비유적으로 이르는 말.,9
141,온고지신,溫故知新,옛것을 익히고 그것을 미루어서 새것을 앎.,5
142,와신상담,臥薪嘗膽,원수를 갚거나 마음먹은 일을 이루기 위하여 온갖 어려움과 괴로움을 참고 견디다.,7
143,요지부동,搖之不動,흔들어도 꼼짝하지 않음.,7
145,유구무언,有口無言,"입은 있어도 말은 없다는 뜻으로, 변명할 말이 없거나 변명 을 못함을 이르는 말.",7
146,유방백세,流芳百世,꽃다운 이름이 후세에 길이 전함.,10
148,유유상종,類類相從,같은 무리끼리 서로 사귐,10
150,유일무이,唯一無二,오직 하나뿐이고 둘도 없음.,3
152,이구동성,異口同聲,"입은 다르나 목소리는 같다는 뜻으로, 여러 사람의 말이 한결같음을 이르는 말.",3
153,이란투석,以卵投石,"달걀로 돌을 친다는 뜻으로, 아주 약한 것으로 강한 것에 대항하려는 어리석음을 비유적으로 이르는 말",9
155,이심전심,以心傳心,마음과 마음으로 서로 뜻이 통함,5
157,이왕지사,已往之事,이미 지나간 일.,7
159,일거양득,一擧兩得,한 가지 일을 하여 두 가지 이익을 얻음.,5
161,일벌백계,一罰百戒,"한 사람을 벌주어 백 사람을 경계한다는 뜻으로, 다른 사람들에게 경각심을 불러일으키기 위하여 본보기 로 한 사람에게 엄한 처벌을 하는 일을 이르는 말.",9
163,일진일퇴,一進一退,한 번 앞으로 나아갔다 한 번 뒤로 물러섰다 함.,7
165,일편단심,一片丹心,"한 조각의 붉은 마음이라는 뜻으로, 진심에서 우러나오는 변치 아니하는 마음을 이르는 말.",5
168,자가당착,自家撞着,같은 사람의 말이나 행동이 앞뒤가 서로 맞지 아니하고 모순됨.,9
169,자격지심,自激之心,자기가 한 일에 대하여 스스로 미흡하게 여기는 마음.,7
170,자승자박,自繩自縛,자기가 한 말과 행동에 자기 자신이 옭혀 곤란하게 됨을 비유적으로 이르는 말.,7
172,자중지란,自中之亂,같은 편끼리 하는 싸움.,9
173,자포자기,自暴自棄,절망에 빠져 자신을 스스로 포기하고 돌아보지 아니함.,5
175,적반하장,賊反荷杖,"1994 2차 수능 도둑이 도리어 매를 든다는 뜻으로, 잘못한 사람이 아무 잘 못도 없는 사람을 나무람을 이르는 말.",5
176,전인미답,前人未踏,1.이제까지 그 누구도 가 보지 못함. 2.이제까지 그 누구도 손을 대어 본 일이 없음.,9
177,전전긍긍,戰戰兢兢,몹시 두려워서 벌벌 떨며 조심함,7
179,전화위복,轉禍爲福,재앙과 화난이 바뀌어 오히려 복이 됨.,5
180,절차탁마,切磋琢磨,"옥이나 돌 따위를 갈고 닦아서 빛을 낸다는 뜻으로, 부지런히 학문과 덕행을 닦음을 이르는 말.",10
181,절치부심,切齒腐心,몹 시 분하여 이를 갈며 속을 썩임.,9
