doc_id,level,quarter,week,book_title,review_status,n_vocab,n_ox,n_qa,n_essay,b1_unknown,b2_empty,b3_label_as_question,b4_dup_order,b5_font_broken,w1_table_noconfig,w2_rows_int,w3_reading_type_odd,w4_reading_type_null,w5_missing_parts,w6_no_cover_message,n_images,n_images_linked,grade,blockers
L5-Q2-W06,L5,2분기(탐구),6,누가 내 시간을 훔쳐갔지?,pending,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,needs_review,
L5-Q2-W12,L5,2분기(탐구),12,인공지능 윤리 수업,pending,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,needs_review,
L5-Q2-W13,L5,2분기(탐구),13,인공지능 윤리 수업 (연장),pending,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,needs_review,
L5-Q3-W01,L5,3분기(문학),1,김유정 소설집,pending,4,5,6,1,0,0,0,0,11,0,0,0,6,0,0,1,0,needs_review,
L5-Q3-W02,L5,3분기(문학),2,김유정 소설집,pending,4,5,7,1,0,0,0,0,10,1,0,0,7,0,0,1,0,needs_review,
L5-Q3-W03,L5,3분기(문학),3,산새알 물새알: 박목월 동시집,pending,4,0,11,1,5,0,1,0,7,1,0,0,0,1,0,4,0,unusable,B1;B3
L5-Q3-W04,L5,3분기(문학),4,별을 사랑하는 아이들아 : 윤동주 동시집,pending,4,0,14,1,7,1,2,4,6,0,0,0,0,1,0,5,0,unusable,B1;B2;B3;B4
L5-Q3-W05,L5,3분기(문학),5,임경업전,pending,4,5,12,1,1,0,0,0,1,0,0,0,3,0,0,2,0,unusable,B1
L5-Q3-W06,L5,3분기(문학),6,안네의 일기,pending,4,5,9,1,2,0,0,2,1,1,0,0,0,0,0,3,0,unusable,B1;B4
L5-Q3-W07,L5,3분기(문학),7,안네의 일기,pending,4,5,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,needs_review,
L5-Q3-W08,L5,3분기(문학),8,몽실 언니,pending,4,0,8,1,3,0,0,2,2,1,0,0,0,1,0,3,0,unusable,B1;B4
L5-Q3-W09,L5,3분기(문학),9,몽실 언니,pending,4,0,7,1,0,0,0,0,3,0,0,0,0,1,0,3,0,needs_review,
L5-Q3-W10,L5,3분기(문학),10,긴긴밤,pending,4,5,14,1,0,2,2,1,0,0,0,0,0,0,0,2,0,unusable,B2;B3;B4
L5-Q3-W11,L5,3분기(문학),11,모모,pending,4,0,10,1,2,0,0,2,0,0,0,0,0,1,0,4,0,unusable,B1;B4
L5-Q3-W12,L5,3분기(문학),12,모모,pending,4,0,10,1,2,0,0,2,8,0,0,0,0,1,0,4,0,unusable,B1;B4
L5-Q3-W13,L5,3분기(문학),13,모모,pending,4,0,8,1,0,0,0,0,0,0,0,0,0,1,0,4,0,needs_review,
L5-Q4-W01,L5,4분기(인문예술),1,두근두근 한국사 1권,approved,4,5,9,1,0,0,0,0,3,1,0,0,0,0,0,6,0,needs_review,
L5-Q4-W02,L5,4분기(인문예술),2,두근두근 한국사 1권,approved,4,5,7,1,1,0,0,0,0,0,0,0,0,0,0,8,2,unusable,B1
L5-Q4-W03,L5,4분기(인문예술),3,두근두근 한국사 2권,pending,4,5,19,1,7,5,5,5,9,0,0,0,0,0,0,5,0,unusable,B1;B2;B3;B4
L5-Q4-W04,L5,4분기(인문예술),4,두근두근 한국사 2권,pending,4,5,7,1,1,0,0,0,1,0,0,0,0,0,0,5,0,unusable,B1
L5-Q4-W06,L5,4분기(인문예술),6,신화의 숲,pending,4,5,11,1,2,0,0,0,4,1,0,0,0,0,0,2,0,unusable,B1
L5-Q4-W07,L5,4분기(인문예술),7,신화의 숲,pending,5,5,12,1,3,0,0,0,3,0,0,2,0,0,0,2,0,unusable,B1
L5-Q4-W08,L5,4분기(인문예술),8,"선생님, 건축이 뭐예요",pending,4,5,6,1,2,0,0,0,5,1,0,0,0,0,0,6,0,unusable,B1
L5-Q4-W09,L5,4분기(인문예술),9,디자인은 어디에나 있어!,pending,4,5,15,1,10,0,0,6,0,0,0,0,0,0,0,4,0,unusable,B1;B4
L5-Q4-W10,L5,4분기(인문예술),10,나의 행복과 모두의 행복,approved,4,5,8,1,0,0,0,0,1,0,0,0,0,0,0,6,0,ready,
L5-Q4-W11,L5,4분기(인문예술),11,나의 행복과 모두의 행복,approved,4,5,8,1,0,0,0,0,2,0,1,0,0,0,0,5,0,needs_review,
L5-Q4-W12,L5,4분기(인문예술),12,10대를 위한 정의란 무엇인가,pending,4,5,8,1,1,0,0,0,5,1,0,0,0,0,0,5,0,unusable,B1
L5-Q4-W13,L5,4분기(인문예술),13,10대를 위한 정의란 무엇인가,pending,4,5,8,1,2,0,0,0,0,2,0,0,0,0,0,4,0,unusable,B1
L6-Q1-W01,L6,1분기(고전),1,어린왕자,pending,0,0,8,1,0,0,0,0,11,0,0,0,8,2,0,4,0,needs_review,
L6-Q1-W02,L6,1분기(고전),2,프랑켄슈타인,pending,4,5,7,1,0,0,0,0,11,2,0,0,7,0,0,5,0,needs_review,
L6-Q1-W03,L6,1분기(고전),3,프랑켄슈타인,pending,4,4,8,1,0,0,0,0,6,0,0,0,8,0,0,3,0,needs_review,
L6-Q1-W04,L6,1분기(고전),4,올리버 트위스트,pending,4,5,8,1,0,0,0,0,6,0,0,0,8,0,0,3,0,needs_review,
L6-Q1-W05,L6,1분기(고전),5,올리버 트위스트,pending,4,5,7,1,1,0,0,0,8,1,0,0,7,0,0,2,0,unusable,B1
L6-Q1-W06,L6,1분기(고전),6,공부가 되는 셰익스피어 4대 비극,pending,4,5,8,1,0,0,0,0,14,1,0,0,8,0,0,4,0,needs_review,
L6-Q1-W07,L6,1분기(고전),7,공부가 되는 셰익스피어 4대 비극,pending,4,5,8,1,2,0,0,0,6,0,0,0,8,0,0,1,0,unusable,B1
L6-Q1-W08,L6,1분기(고전),8,돈 키호테,pending,4,5,7,1,0,0,0,0,8,0,0,0,7,0,0,4,0,needs_review,
